Dates,S,T,Rd,Rf,SEMP,S25RR,S25BF,S10RR,S10BF,S10P,S25P,SATM,S25C,S10C,K10P,K25P,KATM,K25C,K10C,Info
2000-06-30,7.7956,1.5,,,0.0014832137724164903,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-03,7.7958,1.5,,,0.0014763210315558888,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-04,7.796,1.5,,,0.0014748891532993006,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-05,7.7961,1.5,,,0.0014614332132394704,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-06,7.7964,1.5,,,0.0014614307422263647,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-07,7.7963000000000005,1.5,,,0.0014614295067661366,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-10,7.7965,1.5,,,0.0014614288890471875,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-11,7.7957,1.5,,,0.0014812791216348177,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-12,7.7961,1.5,,,0.0014830541169865588,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-13,7.7956,1.5,,,0.00149210144030031,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-14,7.7963000000000005,1.5,,,0.0014973783523458018,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-17,7.7968,1.5,,,0.0015003880599068257,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-18,7.7966999999999995,1.5,,,0.0015012514793918998,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-19,7.7968,1.5,,,0.0014986331208402066,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-20,7.7969,1.5,,,0.0014985824731058417,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-21,7.7966,1.5,,,0.001495307378055385,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-24,7.7959,1.5,,,0.001510435024341689,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-25,7.7968,1.5,,,0.00152452117957386,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-26,7.7982,1.5,,,0.0015578479334561728,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-27,7.7975,1.5,,,0.001573221868565101,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-28,7.7981,1.5,,,0.0015708741230648885,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-07-31,7.7986,1.5,,,0.0015050040253775676,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-01,7.7988,1.5,,,0.0014953183402282748,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-02,7.7988,1.5,,,0.0014929824057456098,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-03,7.7983,1.5,,,0.001502230688724074,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-04,7.7988,1.5,,,0.0015050670365621872,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-07,7.7985,1.5,,,0.001502742479946811,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-08,7.7984,1.5,,,0.0014992921833270377,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-09,7.7996,1.5,,,0.0014992290824561055,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-10,7.7996,1.5,,,0.0014992290824561055,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-11,7.7998,1.5,,,0.001497960276246496,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-14,7.7999,1.5,,,0.0014930386924995038,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-15,7.7997,1.5,,,0.001488947787807126,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-16,7.7996,1.5,,,0.0014723082217354027,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-17,7.7986,1.5,,,0.0014895389874733423,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-18,7.7991,1.5,,,0.0014911039478398749,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-21,7.7988,1.5,,,0.0014950553276622642,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-22,7.799,1.5,,,0.001489536216979661,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-23,7.7995,1.5,,,0.001477584120725213,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-24,7.7998,1.5,,,0.0014771104942843652,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-25,7.7999,1.5,,,0.0014758823253854063,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-28,7.7999,1.5,,,0.001398945332426962,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-29,7.8,1.5,,,0.001378261279974388,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-30,7.7999,1.5,,,0.0013784955942522186,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-08-31,7.7988,1.5,,,0.0014134265152808713,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-01,7.7992,1.5,,,0.0014147591747627221,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-04,7.7993,1.5,,,0.0014084777893392918,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-05,7.7988,1.5,,,0.001401582374061126,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-06,7.7985,1.5,,,0.001401578064021274,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-07,7.7992,1.5,,,0.0013982941398927623,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-08,7.7987,1.5,,,0.0014001568602044923,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-11,7.7982,1.5,,,0.0014075352378543355,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-12,7.798,1.5,,,0.001354286236291712,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-13,7.798,1.5,,,0.001347571284237809,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-14,7.7985,1.5,,,0.0013430709540874655,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-15,7.7972,1.5,,,0.0012533606390571067,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-18,7.7972,1.5,,,0.0011797997717021712,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-19,7.7982,1.5,,,0.0011041163703550821,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-20,7.7985,1.5,,,0.0010641173880629926,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-21,7.7984,1.5,,,0.0010627892651607137,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-22,7.7977,1.5,,,0.0010766990873440235,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-25,7.798,1.5,,,0.0010780836829118005,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-26,7.7982,1.5,,,0.0010780830870019311,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-27,7.7978,1.5,,,0.001083965026994273,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-28,7.7966999999999995,1.5,,,0.0011208435621711719,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-09-29,7.7964,1.5,,,0.001123369860827212,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-02,7.7957,1.5,,,0.0011369260002543093,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-03,7.7957,1.5,,,0.0011174641171900332,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-04,7.7959,1.5,,,0.0011136935317948144,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-05,7.7958,1.5,,,0.0011061556571156528,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-06,7.7953,1.5,,,0.0010980592296330385,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-09,7.797,1.5,,,0.0011793640695778186,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-10,7.7974,1.5,,,0.0011835671733175103,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-11,7.798,1.5,,,0.0011933642751959144,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-12,7.7965,1.5,,,0.0012576657001045737,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-13,7.7968,1.5,,,0.0012577211872757794,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-16,7.7977,1.5,,,0.0012650845335130765,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-17,7.7979,1.5,,,0.0012446358404538608,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-18,7.7975,1.5,,,0.0011935284858821643,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-19,7.7977,1.5,,,0.0011805400819777918,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-20,7.7973,1.5,,,0.0011743260724767625,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-23,7.7982,1.5,,,0.001191061058192169,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-24,7.7985,1.5,,,0.0011925568260714294,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-25,7.7993,1.5,,,0.0012110294414686333,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-26,7.7992,1.5,,,0.0012038357704224636,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-27,7.7997,1.5,,,0.0012038341510059933,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-30,7.7992,1.5,,,0.0012086073954217151,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-10-31,7.7974,1.5,,,0.00129815077598779,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-11-01,7.797,1.5,,,0.0012606908629651994,,,,,,,,,,nan,nan,nan,nan,nan,0
2000-11-02,7.7945,1.5,,,0.0014151826728723972,,,,,,,,,,nan,nan,nan,nan,nan,0
